Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Parameters
ZTRD,7 D A B,10290421,0,102.15,0,64.34,0,56.13,0,123.19,0,445.25,0,713.54,AR,31.34,nan,[]
ZTRD,7 D A C,10290566,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,7 D Z B,10290599,6.45,0,5.4,0,1.78,0,23.43,0,28.85,0,20.98,0,AR,5.1,nan,[]
ZTRD,9 Z Z Z,10290607,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,B E 01,10290647,0,0,0,1.9,0,0,0,0,0,1.06,0,0.07,AR,0.69,nan,[]
ZTRD,G A A A,10290659,0.49,0.29,0,0,0,0,0.16,0.44,0,0.59,0.58,0.2,AR,0.68,nan,[]
ZTRD,G A A E,10290778,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.25,nan,[]
ZTRD,G B A A,10290786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,G B A E,10290859,4.98,0.45,9.23,0,2.03,0,11.53,0,4.32,0.45,15.35,2.54,AR,5.13,nan,[]
ZTRD,G B D C,10290866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,S A A A,10300011,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,S A E A,10300225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,S B A G,10392310,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,S B B G,10392347,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.19,0.18,0.18,0.18,AR,0.28,inf,[]
ZTRD,S B C G,10392348,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,S B D G,10392547,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,S B F G,10520629,0,0.79,5.27,2.44,0,0,0,0,0,0,0,0,AR,4.77,nan,[]
