Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
ZTRD,3 B X C,10625212,low,medium
ZTRD,3 B X E,10625213,low,medium
ZTRD,3 B X F,10625214,low,medium
ZTRD,3 C A E,10625300,low,medium
ZTRD,3 C A Z,10625302,low,medium
ZTRD,3 D A C,10625303,low,medium
ZTRD,3 D A E,10625306,low,medium
ZTRD,3 D A F,10625308,low,medium
ZTRD,3 D B E,10625309,low,medium
ZTRD,3 D B F,10625310,low,medium
ZTRD,3 D C B,10625311,low,medium
ZTRD,3 D C E,10625312,low,medium
ZTRD,3 D D E,10625315,low,medium
ZTRD,3 D D F,10625318,low,medium
ZTRD,3 D X E,10625323,low,medium
ZTRD,3 D X F,10625327,low,medium
ZTRD,3 X X C,10625328,low,medium
ZTRD,3 X X E,10625401,low,medium
ZTRD,3 X X F,10625402,low,medium
ZTRD,3 Y A E,10625403,low,medium
ZTRD,3 Y A F,10625404,low,medium
ZTRD,3 Y Y C,10625405,low,medium
ZTRD,4 A D B,10625407,medium,medium
ZTRD,4 A D C,10625408,medium,medium
ZTRD,4 A D E,10625409,low,medium
ZTRD,4 A D F,10625410,low,medium
ZTRD,4 A G B,10625411,low,low
ZTRD,4 A G C,10625412,low,medium
ZTRD,4 A G E,10625413,low,medium
ZTRD,4 A G F,10625417,low,medium
ZTRD,4 A K E,10625502,low,medium
ZTRD,4 A K F,10625503,low,medium
ZTRD,4 A L E,10625504,low,medium
ZTRD,4 A M E,10625505,low,medium
ZTRD,4 A N E,10625506,low,medium
ZTRD,4 A X B,10625507,low,medium
ZTRD,4 A X C,10625508,low,medium
ZTRD,4 A X E,10625509,low,medium
ZTRD,4 A X F,10625510,low,medium
ZTRD,4 B B E,10625511,low,medium
ZTRD,4 B C E,10625512,low,medium
ZTRD,4 B X B,10625514,low,medium
ZTRD,4 B X C,10625515,low,medium
ZTRD,4 B X E,10625516,low,medium
ZTRD,4 B X F,10625517,low,medium
ZTRD,4 C B A,10625518,low,medium
ZTRD,4 C B B,10625551,low,medium
ZTRD,4 C B C,10625552,low,medium
ZTRD,4 C C A,10625554,low,medium
ZTRD,4 C C E,10625556,low,medium
ZTRD,4 C D C,10625601,low,medium
ZTRD,4 C X E,10625602,low,medium
ZTRD,4 D A A,10625603,low,medium
ZTRD,4 D A E,10625604,low,medium
ZTRD,4 X A A,10625605,low,medium
ZTRD,4 X A C,10625606,low,medium
ZTRD,4 X A E,10625607,low,medium
ZTRD,4 X B A,10625608,low,medium
ZTRD,4 X B C,10625701,low,medium
ZTRD,4 X B E,10625702,low,medium
ZTRD,4 X B F,10625703,low,medium
ZTRD,4 X C C,10625704,low,low
ZTRD,4 X C E,10625705,low,medium
ZTRD,4 X D A,10625706,low,high
